"USER_NUM","USER_ID","USER_NICKNAME","USER_EMAIL","USER_PASSWORD","USER_PHONENUM","USER_REALNAME","USER_BIRTHDAY","USER_ADDRESS1","USER_ADDRESS2","USER_ADDRESS3"
1,"Adrian Tanase","Adrian Tanase","Adrian Tanase@test.com","1","010-1111-1111","Adrian Tanase",21/07/13,"12345","더미특별시 데이터구","101동 123호"
2,"Starri Steind?rsson","Starri Steind?rsson","Starri Steind?rsson@test.com","2","010-1111-1111","Starri Steind?rsson",21/07/13,"12345","더미특별시 데이터구","101동 123호"
3,"Vladimir Gloukhov","Vladimir Gloukhov","Vladimir Gloukhov@test.com","3","010-1111-1111","Vladimir Gloukhov",21/07/13,"12345","더미특별시 데이터구","101동 123호"
4,"Robert Zeman","Robert Zeman","Robert Zeman@test.com","4","010-1111-1111","Robert Zeman",21/07/13,"12345","더미특별시 데이터구","101동 123호"
5,"Jonny Bravo","Jonny Bravo","Jonny Bravo@test.com","5","010-1111-1111","Jonny Bravo",21/07/13,"12345","더미특별시 데이터구","101동 123호"
6,"Corina Stirbu","Corina Stirbu","Corina Stirbu@test.com","6","010-1111-1111","Corina Stirbu",21/07/13,"12345","더미특별시 데이터구","101동 123호"
7,"Jarek Wichowski","Jarek Wichowski","Jarek Wichowski@test.com","7","010-1111-1111","Jarek Wichowski",21/07/13,"12345","더미특별시 데이터구","101동 123호"
8,"Luke Willats","Luke Willats","Luke Willats@test.com","8","010-1111-1111","Luke Willats",21/07/13,"12345","더미특별시 데이터구","101동 123호"
9,"Arif B","Arif B","Arif B@test.com","9","010-1111-1111","Arif B",21/07/13,"12345","더미특별시 데이터구","101동 123호"
10,"Eder Coelho","Eder Coelho","Eder Coelho@test.com","10","010-1111-1111","Eder Coelho",21/07/13,"12345","더미특별시 데이터구","101동 123호"
11,"Alexandru Costache","Alexandru Costache","Alexandru Costache@test.com","11","010-1111-1111","Alexandru Costache",21/07/13,"12345","더미특별시 데이터구","101동 123호"
12,"Martin Oksvold","Martin Oksvold","Martin Oksvold@test.com","12","010-1111-1111","Martin Oksvold",21/07/13,"12345","더미특별시 데이터구","101동 123호"
13,"Tudor Cristea","Tudor Cristea","Tudor Cristea@test.com","13","010-1111-1111","Tudor Cristea",21/07/13,"12345","더미특별시 데이터구","101동 123호"
14,"Marsy Olivier","Marsy Olivier","Marsy Olivier@test.com","14","010-1111-1111","Marsy Olivier",21/07/13,"12345","더미특별시 데이터구","101동 123호"
15,"Laszlo Gy","Laszlo Gy","Laszlo Gy@test.com","15","010-1111-1111","Laszlo Gy",21/07/13,"12345","더미특별시 데이터구","101동 123호"
16,"Sebi V","Sebi V","Sebi V@test.com","16","010-1111-1111","Sebi V!",21/07/13,"12345","더미특별시 데이터구","101동 123호"
17,"Diana B.","Diana B.","Diana B.@test.com","17","010-1111-1111","Diana B.",21/07/13,"12345","더미특별시 데이터구","101동 123호"
18,"Sergiu Muresan","Sergiu Muresan","Sergiu Muresan@test.com","18","010-1111-1111","Sergiu Muresan",21/07/13,"12345","더미특별시 데이터구","101동 123호"
19,"Vlad Verzea","Vlad Verzea","Vlad Verzea@test.com","19","010-1111-1111","Vlad Verzea",21/07/13,"12345","더미특별시 데이터구","101동 123호"
20,"Daniel Stoicescu","Daniel Stoicescu","Daniel Stoicescu@test.com","20","010-1111-1111","Daniel Stoicescu",21/07/13,"12345","더미특별시 데이터구","101동 123호"
21,"Alex Albu","Alex Albu","Alex Albu@test.com","21","010-1111-1111","Alex Albu",21/07/13,"12345","더미특별시 데이터구","101동 123호"
22,"Ionut Tinca","Ionut Tinca","Ionut Tinca@test.com","22","010-1111-1111","Ionut Tinca",21/07/13,"12345","더미특별시 데이터구","101동 123호"
23,"Cristian D.","Cristian D.","Cristian D.@test.com","23","010-1111-1111","Cristian D.",21/07/13,"12345","더미특별시 데이터구","101동 123호"
24,"Stefan Darabus","Stefan Darabus","Stefan Darabus@test.com","24","010-1111-1111","Stefan Darabus",21/07/13,"12345","더미특별시 데이터구","101동 123호"
